funnel_date,funnel_month,funnel_week,funnel_day_of_week,item_category,device_category,traffic_source,traffic_medium,item_event_rows,users,sessions,unique_items,item_views,item_selects,item_add_to_carts,item_removes_from_cart,item_checkout_events,item_purchase_events,users_viewed_category,users_added_category_to_cart,users_started_checkout_with_category,users_purchased_category,sessions_viewed_category,sessions_added_category_to_cart,sessions_started_checkout_with_category,sessions_purchased_category,category_item_revenue,category_quantity_purchased,item_view_to_cart_rate,item_cart_to_checkout_rate,item_checkout_to_purchase_rate,item_view_to_purchase_rate,user_category_view_to_cart_rate,user_category_cart_to_checkout_rate,user_category_checkout_to_purchase_rate,user_category_view_to_purchase_rate,revenue_per_category_buyer,revenue_per_purchasing_category_session,revenue_per_item_purchase_event
2020-12-05,2020-12,48,7,(not set),tablet,<Other>,<Other>,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),desktop,(direct),(none),233,139,139,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),tablet,shop.googlemerchandisestore.com,referral,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),mobile,<Other>,<Other>,87,57,57,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),desktop,(data deleted),(data deleted),52,35,35,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),tablet,(data deleted),(data deleted),2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),mobile,shop.googlemerchandisestore.com,referral,48,34,34,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),mobile,<Other>,referral,69,36,36,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),mobile,google,organic,172,111,112,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),mobile,<Other>,(data deleted),1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),mobile,google,cpc,16,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),tablet,google,cpc,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),desktop,<Other>,organic,26,17,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),mobile,<Other>,organic,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),tablet,(direct),(none),9,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),desktop,<Other>,referral,64,43,43,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),tablet,google,organic,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),tablet,<Other>,organic,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),desktop,google,cpc,40,27,27,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,(not set),mobile,(data deleted),(data deleted),28,18,18,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,
2020-12-05,2020-12,48,7,Lifestyle,desktop,(direct),(none),15,4,5,10,15,0,0,0,0,0,4,0,0,0,5,0,0,0,0.0,0,0.0,,,0.0,0.0,,,0.0,,,
2020-12-05,2020-12,48,7,Sale,mobile,<Other>,referral,3,2,2,2,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0.0,0,0.0,,,0.0,0.0,,,0.0,,,
2020-12-05,2020-12,48,7,Water Bottles/,desktop,google,organic,12,1,1,11,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0,0.0,,,0.0,0.0,,,0.0,,,
