cohort_month,cohort_month_label,week_number,week_label,first_device_category,first_traffic_source,first_traffic_medium,first_traffic_campaign,first_country,cohort_users,retained_users,retention_rate
2021-01-01,2021-01,5,Week 5,desktop,google,organic,(organic),United States,8084,1,0.01
2020-11-01,2020-11,13,Week 13,mobile,(data deleted),(data deleted),(data deleted),United States,279,1,0.36
2020-11-01,2020-11,12,Week 12,desktop,(data deleted),(data deleted),(data deleted),United States,393,3,0.76
2020-11-01,2020-11,11,Week 11,desktop,(data deleted),(data deleted),(data deleted),United States,393,3,0.76
2020-11-01,2020-11,8,Week 8,desktop,(data deleted),(data deleted),(data deleted),India,88,1,1.14
2020-11-01,2020-11,12,Week 12,desktop,(data deleted),(data deleted),(data deleted),India,88,1,1.14
2020-11-01,2020-11,9,Week 9,desktop,(data deleted),(data deleted),(data deleted),India,88,1,1.14
2020-11-01,2020-11,12,Week 12,desktop,(data deleted),(data deleted),(data deleted),Canada,68,1,1.47
2020-11-01,2020-11,7,Week 7,desktop,(data deleted),(data deleted),(data deleted),United States,393,6,1.53
2020-11-01,2020-11,9,Week 9,desktop,(data deleted),(data deleted),(data deleted),United States,393,6,1.53
2020-11-01,2020-11,7,Week 7,mobile,(data deleted),(data deleted),(data deleted),India,59,1,1.69
2020-11-01,2020-11,5,Week 5,mobile,(data deleted),(data deleted),(data deleted),India,59,1,1.69
2020-11-01,2020-11,11,Week 11,mobile,(data deleted),(data deleted),(data deleted),India,59,1,1.69
2020-11-01,2020-11,12,Week 12,mobile,(data deleted),(data deleted),(data deleted),India,59,1,1.69
2020-11-01,2020-11,11,Week 11,mobile,(data deleted),(data deleted),(data deleted),United States,279,5,1.79
2020-11-01,2020-11,12,Week 12,mobile,(data deleted),(data deleted),(data deleted),United States,279,5,1.79
2020-11-01,2020-11,12,Week 12,mobile,(data deleted),(data deleted),(data deleted),Canada,55,1,1.82
2020-11-01,2020-11,8,Week 8,mobile,(data deleted),(data deleted),(data deleted),Canada,55,1,1.82
2020-11-01,2020-11,7,Week 7,mobile,(data deleted),(data deleted),(data deleted),Canada,55,1,1.82
2020-11-01,2020-11,11,Week 11,mobile,(data deleted),(data deleted),(data deleted),Canada,55,1,1.82
2020-11-01,2020-11,8,Week 8,mobile,(data deleted),(data deleted),(data deleted),United States,279,6,2.15
2020-11-01,2020-11,7,Week 7,desktop,(data deleted),(data deleted),(data deleted),India,88,2,2.27
2020-11-01,2020-11,10,Week 10,desktop,(data deleted),(data deleted),(data deleted),India,88,2,2.27
2020-11-01,2020-11,8,Week 8,desktop,(data deleted),(data deleted),(data deleted),United States,393,9,2.29
2020-11-01,2020-11,10,Week 10,desktop,(data deleted),(data deleted),(data deleted),United States,393,9,2.29
2020-11-01,2020-11,9,Week 9,mobile,(data deleted),(data deleted),(data deleted),United States,279,7,2.51
2020-11-01,2020-11,7,Week 7,mobile,(data deleted),(data deleted),(data deleted),United States,279,7,2.51
2020-11-01,2020-11,10,Week 10,mobile,(data deleted),(data deleted),(data deleted),United States,279,8,2.87
2020-11-01,2020-11,7,Week 7,desktop,(data deleted),(data deleted),(data deleted),Canada,68,2,2.94
2020-11-01,2020-11,9,Week 9,desktop,(data deleted),(data deleted),(data deleted),Canada,68,2,2.94
2020-11-01,2020-11,8,Week 8,desktop,(data deleted),(data deleted),(data deleted),Canada,68,2,2.94
2020-11-01,2020-11,9,Week 9,mobile,(data deleted),(data deleted),(data deleted),India,59,2,3.39
2020-11-01,2020-11,5,Week 5,desktop,(data deleted),(data deleted),(data deleted),United Kingdom,29,1,3.45
2020-11-01,2020-11,8,Week 8,desktop,(data deleted),(data deleted),(data deleted),United Kingdom,29,1,3.45
2020-11-01,2020-11,6,Week 6,desktop,(data deleted),(data deleted),(data deleted),United Kingdom,29,1,3.45
2020-11-01,2020-11,6,Week 6,desktop,(data deleted),(data deleted),(data deleted),United States,393,14,3.56
2020-11-01,2020-11,10,Week 10,mobile,(data deleted),(data deleted),(data deleted),Canada,55,2,3.64
2020-11-01,2020-11,6,Week 6,mobile,(data deleted),(data deleted),(data deleted),Canada,55,2,3.64
2020-11-01,2020-11,5,Week 5,mobile,(data deleted),(data deleted),(data deleted),Canada,55,2,3.64
2020-11-01,2020-11,3,Week 3,mobile,(data deleted),(data deleted),(data deleted),United Kingdom,24,1,4.17
2020-11-01,2020-11,9,Week 9,mobile,(data deleted),(data deleted),(data deleted),United Kingdom,24,1,4.17
2020-11-01,2020-11,4,Week 4,mobile,(data deleted),(data deleted),(data deleted),United Kingdom,24,1,4.17
2020-11-01,2020-11,10,Week 10,mobile,(data deleted),(data deleted),(data deleted),United Kingdom,24,1,4.17
2020-11-01,2020-11,1,Week 1,mobile,(data deleted),(data deleted),(data deleted),United Kingdom,24,1,4.17
2020-11-01,2020-11,2,Week 2,mobile,(data deleted),(data deleted),(data deleted),United Kingdom,24,1,4.17
2020-11-01,2020-11,6,Week 6,mobile,(data deleted),(data deleted),(data deleted),United States,279,12,4.3
2020-11-01,2020-11,5,Week 5,desktop,(data deleted),(data deleted),(data deleted),Spain,23,1,4.35
2020-11-01,2020-11,3,Week 3,desktop,(data deleted),(data deleted),(data deleted),Spain,23,1,4.35
2020-11-01,2020-11,4,Week 4,desktop,(data deleted),(data deleted),(data deleted),Spain,23,1,4.35
2020-11-01,2020-11,12,Week 12,desktop,(data deleted),(data deleted),(data deleted),Spain,23,1,4.35
2020-11-01,2020-11,6,Week 6,desktop,(data deleted),(data deleted),(data deleted),Spain,23,1,4.35
2020-11-01,2020-11,9,Week 9,desktop,(data deleted),(data deleted),(data deleted),Spain,23,1,4.35
2020-11-01,2020-11,3,Week 3,desktop,(data deleted),(data deleted),(data deleted),Germany,22,1,4.55
2020-11-01,2020-11,9,Week 9,desktop,(data deleted),(data deleted),(data deleted),Germany,22,1,4.55
2020-11-01,2020-11,4,Week 4,desktop,(data deleted),(data deleted),(data deleted),Germany,22,1,4.55
2020-11-01,2020-11,2,Week 2,desktop,(data deleted),(data deleted),(data deleted),Germany,22,1,4.55
2020-11-01,2020-11,6,Week 6,desktop,(data deleted),(data deleted),(data deleted),India,88,4,4.55
2020-11-01,2020-11,10,Week 10,desktop,(data deleted),(data deleted),(data deleted),Germany,22,1,4.55
2020-11-01,2020-11,3,Week 3,mobile,(data deleted),(data deleted),(data deleted),India,59,3,5.08
2020-11-01,2020-11,6,Week 6,desktop,(data deleted),(data deleted),(data deleted),Taiwan,19,1,5.26
2020-11-01,2020-11,3,Week 3,desktop,(data deleted),(data deleted),(data deleted),Taiwan,19,1,5.26
2020-11-01,2020-11,7,Week 7,desktop,(data deleted),(data deleted),(data deleted),Taiwan,19,1,5.26
2020-11-01,2020-11,4,Week 4,desktop,(data deleted),(data deleted),(data deleted),India,88,5,5.68
2020-11-01,2020-11,3,Week 3,desktop,(data deleted),(data deleted),(data deleted),India,88,5,5.68
2020-11-01,2020-11,5,Week 5,desktop,(data deleted),(data deleted),(data deleted),United States,393,23,5.85
