funnel_date,funnel_month,funnel_week,funnel_day_of_week,device_category,traffic_source,traffic_medium,traffic_campaign,session_user_type,sessions,step_1_sessions_or_page_views,step_2_product_view_sessions,step_3_add_to_cart_sessions,step_4_checkout_sessions,step_5_purchase_sessions,drop_after_session_or_page_view,drop_after_product_view,drop_after_add_to_cart,drop_after_checkout,product_view_events,add_to_cart_events,checkout_events,purchase_events,transactions,revenue,session_to_product_view_rate,product_view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,session_to_purchase_rate,product_view_to_purchase_rate,drop_rate_after_session_or_page_view,drop_rate_after_product_view,drop_rate_after_add_to_cart,drop_rate_after_checkout,revenue_per_purchasing_session,revenue_per_session,average_order_value
2020-12-17,2020-12,50,5,tablet,google,cpc,<Other>,returning_session,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,,,0.0,,100.0,,,,,0.0,
2020-12-17,2020-12,50,5,tablet,google,organic,(organic),returning_session,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,,,,0.0,,100.0,,,,,0.0,
2020-12-17,2020-12,50,5,tablet,shop.googlemerchandisestore.com,referral,(referral),new_session,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,,,0.0,,100.0,,,,,0.0,
2020-12-17,2020-12,50,5,tablet,<Other>,referral,(referral),returning_session,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0,,,,0.0,,100.0,,,,,0.0,
2020-12-17,2020-12,50,5,tablet,shop.googlemerchandisestore.com,referral,(referral),returning_session,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,,,0.0,,100.0,,,,,0.0,
2020-12-17,2020-12,50,5,tablet,<Other>,<Other>,<Other>,new_session,14,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0.0,0.0,,,,0.0,,100.0,,,,,0.0,
2020-12-17,2020-12,50,5,tablet,(direct),(none),(direct),returning_session,6,6,3,1,0,0,3,2,1,0,9,1,0,0,0,0.0,50.0,33.33,0.0,,0.0,0.0,50.0,66.67,100.0,,,0.0,
2020-12-17,2020-12,50,5,mobile,shop.googlemerchandisestore.com,referral,(referral),new_session,78,78,14,2,0,0,64,12,2,0,40,3,0,0,0,0.0,17.95,14.29,0.0,,0.0,0.0,82.05,85.71,100.0,,,0.0,
2020-12-17,2020-12,50,5,tablet,<Other>,<Other>,<Other>,returning_session,1,1,1,1,0,0,0,0,1,0,20,5,0,0,0,0.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,100.0,,,0.0,
2020-12-17,2020-12,50,5,mobile,(data deleted),(data deleted),<Other>,new_session,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0.0,100.0,0.0,,,0.0,0.0,0.0,100.0,,,,0.0,
2020-12-17,2020-12,50,5,desktop,<Other>,referral,(referral),new_session,214,213,38,6,0,0,175,32,6,0,124,26,0,0,0,0.0,17.84,15.79,0.0,,0.0,0.0,82.16,84.21,100.0,,,0.0,
2020-12-17,2020-12,50,5,desktop,(data deleted),(data deleted),(data deleted),new_session,7,6,3,1,0,0,4,2,1,0,16,7,0,0,0,0.0,50.0,33.33,0.0,,0.0,0.0,66.67,66.67,100.0,,,0.0,
2020-12-17,2020-12,50,5,tablet,(data deleted),(data deleted),(data deleted),returning_session,7,7,3,1,0,0,4,2,1,0,8,4,0,0,0,0.0,42.86,33.33,0.0,,0.0,0.0,57.14,66.67,100.0,,,0.0,
2020-12-17,2020-12,50,5,desktop,<Other>,(data deleted),(data deleted),returning_session,5,5,3,1,0,0,2,2,1,0,9,5,0,0,0,0.0,60.0,33.33,0.0,,0.0,0.0,40.0,66.67,100.0,,,0.0,
2020-12-17,2020-12,50,5,tablet,<Other>,organic,(organic),new_session,3,3,2,0,0,0,1,2,0,0,4,0,0,0,0,0.0,66.67,0.0,,,0.0,0.0,33.33,100.0,,,,0.0,
2020-12-17,2020-12,50,5,mobile,(data deleted),(data deleted),(data deleted),new_session,7,7,2,0,0,0,5,2,0,0,5,0,0,0,0,0.0,28.57,0.0,,,0.0,0.0,71.43,100.0,,,,0.0,
2020-12-17,2020-12,50,5,tablet,google,cpc,<Other>,new_session,5,5,1,0,0,0,4,1,0,0,1,0,0,0,0,0.0,20.0,0.0,,,0.0,0.0,80.0,100.0,,,,0.0,
2020-12-17,2020-12,50,5,mobile,google,cpc,<Other>,new_session,93,93,18,1,0,0,75,17,1,0,40,1,0,0,0,0.0,19.35,5.56,0.0,,0.0,0.0,80.65,94.44,100.0,,,0.0,
2020-12-17,2020-12,50,5,tablet,<Other>,referral,(referral),new_session,6,6,1,1,0,0,5,0,1,0,2,2,0,0,0,0.0,16.67,100.0,0.0,,0.0,0.0,83.33,0.0,100.0,,,0.0,
2020-12-17,2020-12,50,5,desktop,<Other>,<Other>,<Other>,new_session,404,404,66,16,2,0,338,50,14,2,250,81,11,0,0,0.0,16.34,24.24,12.5,0.0,0.0,0.0,83.66,75.76,87.5,100.0,,0.0,
2020-12-17,2020-12,50,5,mobile,<Other>,(data deleted),(data deleted),returning_session,4,4,2,0,1,0,2,2,0,1,10,0,4,0,0,0.0,50.0,0.0,,0.0,0.0,0.0,50.0,100.0,,100.0,,0.0,
2020-12-17,2020-12,50,5,tablet,google,organic,(organic),new_session,21,21,4,1,1,0,17,3,0,1,19,1,2,0,0,0.0,19.05,25.0,100.0,0.0,0.0,0.0,80.95,75.0,0.0,100.0,,0.0,
2020-12-17,2020-12,50,5,desktop,<Other>,organic,(organic),returning_session,16,16,5,2,2,0,11,3,0,2,20,7,7,0,0,0.0,31.25,40.0,100.0,0.0,0.0,0.0,68.75,60.0,0.0,100.0,,0.0,
2020-12-17,2020-12,50,5,mobile,(data deleted),(data deleted),<Other>,returning_session,4,4,2,2,1,0,2,0,1,1,41,36,2,0,0,0.0,50.0,100.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,100.0,,0.0,
