metric_date,metric_month,metric_week,metric_day_of_week,device_category,traffic_source,traffic_medium,traffic_campaign,session_user_type,sessions,active_users,total_events,page_views,product_views,add_to_cart_events,cart_views,checkout_starts,payment_info_events,purchase_events,sessions_with_product_view,sessions_with_add_to_cart,sessions_with_checkout,purchasing_sessions,cart_abandoned_sessions,checkout_abandoned_sessions,bounce_like_sessions,transactions,revenue,purchased_item_quantity,purchased_unique_items,session_purchase_conversion_rate,product_view_session_rate,view_to_cart_session_rate,cart_to_checkout_session_rate,checkout_to_purchase_session_rate,view_to_purchase_session_rate,cart_abandonment_rate,checkout_abandonment_rate,bounce_like_session_rate,average_order_value,revenue_per_active_user,revenue_per_session,transactions_per_active_user,product_views_per_session,add_to_cart_events_per_session,checkout_starts_per_session
2020-12-31,2020-12,52,5,desktop,<Other>,(data deleted),(data deleted),new_session,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,,,,,,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,tablet,<Other>,referral,(referral),returning_session,4,4,15,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0,0,0.0,0.0,,,,,,,50.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,desktop,(data deleted),(data deleted),<Other>,new_session,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,,,,,,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,desktop,(data deleted),(data deleted),<Other>,returning_session,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,,,,,,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,tablet,google,organic,(organic),returning_session,5,5,24,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,,,,,,,20.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,desktop,(data deleted),(data deleted),(data deleted),new_session,5,5,13,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0,0,0.0,0.0,,,,,,,80.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,tablet,(direct),(none),(direct),returning_session,2,2,14,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,,,,,,,50.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,mobile,(data deleted),(data deleted),(data deleted),new_session,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,,,,,,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,tablet,<Other>,referral,(referral),new_session,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,tablet,google,cpc,<Other>,new_session,6,6,36,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,desktop,google,cpc,<Other>,returning_session,3,3,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,tablet,shop.googlemerchandisestore.com,referral,(referral),new_session,4,4,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,mobile,(data deleted),(data deleted),<Other>,returning_session,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,,,,,,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,mobile,(data deleted),(data deleted),<Other>,new_session,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,2020-12,52,5,desktop,<Other>,organic,(organic),returning_session,6,6,80,28,9,0,0,0,0,0,2,0,0,0,0,0,1,0,0.0,0,0,0.0,33.33,0.0,,,0.0,,,16.67,,0.0,0.0,0.0,1.5,0.0,0.0
2020-12-31,2020-12,52,5,tablet,<Other>,<Other>,<Other>,new_session,12,12,98,38,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0.0,16.67,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.17,0.0,0.0
2020-12-31,2020-12,52,5,mobile,(data deleted),(data deleted),(data deleted),returning_session,53,48,734,246,77,21,0,0,0,0,14,4,0,0,4,0,16,0,0.0,0,0,0.0,26.42,28.57,0.0,,0.0,100.0,,30.19,,0.0,0.0,0.0,1.45,0.4,0.0
2020-12-31,2020-12,52,5,mobile,google,cpc,<Other>,returning_session,4,4,39,15,4,2,0,0,0,0,2,2,0,0,2,0,0,0,0.0,0,0,0.0,50.0,100.0,0.0,,0.0,100.0,,0.0,,0.0,0.0,0.0,1.0,0.5,0.0
2020-12-31,2020-12,52,5,tablet,shop.googlemerchandisestore.com,referral,(referral),returning_session,3,3,15,5,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0.0,0,0,0.0,33.33,0.0,,,0.0,,,66.67,,0.0,0.0,0.0,0.33,0.0,0.0
2020-12-31,2020-12,52,5,tablet,(direct),(none),(direct),new_session,17,17,148,51,14,0,0,0,0,0,3,0,0,0,0,0,1,0,0.0,0,0,0.0,17.65,0.0,,,0.0,,,5.88,,0.0,0.0,0.0,0.82,0.0,0.0
