metric_date,metric_month,metric_week,metric_day_of_week,sessions,active_users,total_events,page_views,product_views,add_to_cart_events,cart_views,checkout_starts,payment_info_events,purchase_events,sessions_with_product_view,sessions_with_add_to_cart,sessions_with_checkout,purchasing_sessions,cart_abandoned_sessions,checkout_abandoned_sessions,bounce_like_sessions,transactions,revenue,session_purchase_conversion_rate,product_view_session_rate,view_to_cart_session_rate,cart_to_checkout_session_rate,checkout_to_purchase_session_rate,view_to_purchase_session_rate,cart_abandonment_rate,checkout_abandonment_rate,bounce_like_session_rate,average_order_value,revenue_per_active_user,revenue_per_session
2020-12-06,2020-12,49,1,3327,2941,43223,13193,4107,816,0,436,111,43,766,258,140,41,227,99,1815,43,2498.0,1.23,23.02,33.68,54.26,29.29,5.35,87.98,70.71,54.55,58.09,0.85,0.75
2020-11-10,2020-11,45,3,3824,3252,51342,15666,5262,0,0,266,204,63,951,0,173,63,0,111,1911,63,4014.0,1.65,24.87,0.0,,36.42,6.62,,64.16,49.97,63.71,1.23,1.05
2020-12-05,2020-12,48,7,3498,3072,49247,14875,4890,1049,0,591,201,86,822,295,172,76,233,96,1935,85,6321.0,2.17,23.5,35.89,58.31,44.19,9.25,78.98,55.81,55.32,74.36,2.06,1.81
2021-01-07,2021-01,1,5,4660,4167,44362,15342,2784,589,0,376,69,27,768,175,62,26,158,36,521,27,1480.0,0.56,16.48,22.79,35.43,41.94,3.39,90.29,58.06,11.18,54.81,0.36,0.32
2020-12-24,2020-12,51,5,2798,2595,26117,7353,2270,481,0,188,47,23,477,101,39,22,84,17,1830,23,1192.0,0.79,17.05,21.17,38.61,56.41,4.61,83.17,43.59,65.4,51.83,0.46,0.43
2020-12-09,2020-12,49,4,6282,5525,82513,24255,7819,1790,0,1018,390,152,1269,424,258,133,321,125,3720,148,10997.0,2.12,20.2,33.41,60.85,51.55,10.48,75.71,48.45,59.22,74.3,1.99,1.75
2020-12-12,2020-12,49,7,4135,3744,56373,16993,5714,1399,0,647,234,107,880,313,192,100,231,92,2511,107,6284.0,2.42,21.28,35.57,61.34,52.08,11.36,73.8,47.92,60.73,58.73,1.68,1.52
2020-12-04,2020-12,48,6,4714,4123,69676,20800,7420,1572,0,729,241,96,1186,383,198,86,317,112,2526,95,6509.0,1.82,25.16,32.29,51.7,43.43,7.25,82.77,56.57,53.59,68.52,1.58,1.38
2021-01-22,2021-01,3,6,4089,3597,49753,16765,4464,671,0,888,230,101,1147,214,155,89,146,66,440,98,5621.0,2.18,28.05,18.66,72.43,57.42,7.76,68.22,42.58,10.76,57.36,1.56,1.37
2020-12-27,2020-12,52,1,2677,2491,22503,6227,1680,502,0,211,52,20,412,99,39,20,82,19,1793,20,1161.0,0.75,15.39,24.03,39.39,51.28,4.85,82.83,48.72,66.98,58.05,0.47,0.43
