primary_customer_segment,recommended_action,targeting_priority_rank,intent_tier,value_tier,engagement_tier,buyer_lifecycle_tier,users,buyers,repeat_buyers,high_intent_non_buyers,cart_abandoner_non_buyers,checkout_abandoner_non_buyers,sessions,item_views,add_to_carts,checkout_starts,transactions,revenue,avg_sessions_per_user,avg_item_views_per_user,avg_add_to_carts_per_user,avg_revenue_per_user,avg_order_value,buyer_rate,repeat_buyer_rate,revenue_per_segment_user,transactions_per_segment_user,pct_of_users,pct_of_revenue
high_value_customer,protect_and_retain_vip_customers,4,converted,top_10pct_value,high_engagement,loyal_multi_buyer,155,155,155,0,0,0,956,6529,1967,2494,650,39276.0,6.17,42.12,12.69,253.39,63.17,100.0,100.0,253.39,4.19,0.06,10.84
high_value_customer,protect_and_retain_vip_customers,4,converted,top_10pct_value,high_engagement,early_repeat_buyer,355,355,355,0,0,0,1806,12410,3267,2724,710,54115.0,5.09,34.96,9.2,152.44,76.22,100.0,100.0,152.44,2.0,0.13,14.94
repeat_buyer,promote_loyalty_and_cross_sell,4,converted,no_revenue,high_engagement,early_repeat_buyer,8,8,8,0,0,0,44,252,18,47,16,0.0,5.5,31.5,2.25,0.0,0.0,100.0,100.0,0.0,2.0,0.0,0.0
high_value_customer,protect_and_retain_vip_customers,3,converted,top_10pct_value,high_engagement,one_time_buyer,3537,3537,0,0,0,0,11741,72995,19019,16707,3537,267530.0,3.32,20.64,5.38,75.64,75.64,100.0,0.0,75.64,1.0,1.31,73.87
one_time_buyer,drive_second_purchase,3,converted,no_revenue,high_engagement,one_time_buyer,345,345,0,0,0,0,1153,7573,2074,1444,345,0.0,3.34,21.95,6.01,0.0,0.0,100.0,0.0,0.0,1.0,0.13,0.0
cart_abandoner_non_buyer,recover_cart_abandonment,2,high_intent,no_revenue,high_engagement,non_buyer,6888,0,0,6888,6888,0,15182,54727,22188,0,0,0.0,2.2,7.95,3.22,0.0,,0.0,,0.0,0.0,2.55,0.0
engaged_browser_non_buyer,personalize_product_recommendations,5,medium_intent,no_revenue,high_engagement,non_buyer,44732,0,0,0,0,0,71345,137625,0,0,0,0.0,1.59,3.08,0.0,0.0,,0.0,,0.0,0.0,16.56,0.0
repeat_visitor_non_buyer,nurture_repeat_visitors,9,minimal_intent,no_revenue,high_engagement,non_buyer,25559,0,0,0,0,0,63663,0,0,0,0,0.0,2.49,0.0,0.0,0.0,,0.0,,0.0,0.0,9.46,0.0
low_activity_user,low_priority_generic_awareness,9,minimal_intent,no_revenue,high_engagement,non_buyer,183260,0,0,0,0,0,183260,0,0,0,0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,67.84,0.0
checkout_abandoner_non_buyer,recover_checkout_abandonment,1,very_high_intent,top_10pct_value,high_engagement,non_buyer,19,0,0,0,0,19,60,256,0,42,0,1244.0,3.16,13.47,0.0,65.47,,0.0,,65.47,0.0,0.01,0.34
checkout_abandoner_non_buyer,recover_checkout_abandonment,1,very_high_intent,no_revenue,high_engagement,non_buyer,5296,0,0,2742,2742,5296,10919,93701,10010,15299,0,0.0,2.06,17.69,1.89,0.0,,0.0,,0.0,0.0,1.96,0.0
