segment_variable,segment_value,comparison,treatment_users,control_users,treatment_buyers,control_buyers,treatment_conversion_rate,control_conversion_rate,absolute_conversion_lift,relative_conversion_lift,conversion_p_value,treatment_revenue_per_user,control_revenue_per_user,revenue_per_user_lift,is_significant_05
history_segment,1) $0 - $100,Mens E-Mail vs No E-Mail,7724,7612,71,32,0.009192128430864838,0.004203888596952181,0.004988239833912657,1.186577550491973,0.00015589461902370698,1.0551760745727603,0.516893063583815,0.5382830109889453,True
history_segment,2) $100 - $200,Mens E-Mail vs No E-Mail,4691,4836,42,20,0.008953314858239182,0.0041356492969396195,0.004817665561299562,1.164911532722234,0.0034588573015568802,1.127143466211895,0.42289495450785775,0.7042485117040373,True
history_segment,3) $200 - $350,Mens E-Mail vs No E-Mail,4090,4044,63,28,0.015403422982885086,0.006923837784371909,0.008479585198513176,1.2246943765281175,0.00027744163246441414,1.4694621026894867,0.9328808110781406,0.5365812916113462,True
history_segment,4) $350 - $500,Mens E-Mail vs No E-Mail,2097,2124,42,24,0.020028612303290415,0.011299435028248588,0.008729177275041827,0.7725321888412018,0.02227774669886927,2.579208392942298,1.0102683615819208,1.5689400313603774,True
history_segment,5) $500 - $750,Mens E-Mail vs No E-Mail,1597,1652,22,9,0.013775829680651221,0.005447941888619854,0.008327887792031367,1.5286300702706463,0.014640830369248556,1.6418659987476518,0.5388559322033899,1.103010066544262,True
history_segment,"6) $750 - $1,000",Mens E-Mail vs No E-Mail,644,622,16,3,0.024844720496894408,0.00482315112540193,0.02002156937149248,4.151138716356107,0.003398796192891348,1.8836801242236023,0.3495337620578778,1.5341463621657245,True
history_segment,"7) $1,000 +",Mens E-Mail vs No E-Mail,464,416,11,6,0.023706896551724137,0.014423076923076924,0.009283819628647213,0.6436781609195401,0.3178188284221223,3.491875,2.169807692307692,1.3220673076923077,False
history_segment,1) $0 - $100,Womens E-Mail vs No E-Mail,7634,7612,61,32,0.007990568509300498,0.004203888596952181,0.003786679912348317,0.9007564841498559,0.0026784363362159515,1.142712863505371,0.516893063583815,0.6258197999215559,True
history_segment,2) $100 - $200,Womens E-Mail vs No E-Mail,4727,4836,37,20,0.007827374656230167,0.0041356492969396195,0.0036917253592905477,0.8926591918764544,0.01903170094823065,0.8812883435582823,0.42289495450785775,0.4583933890504246,True
history_segment,3) $200 - $350,Womens E-Mail vs No E-Mail,4155,4044,26,28,0.006257521058965102,0.006923837784371909,-0.0006663167254068068,-0.0962351727694688,0.709211727681355,0.6097400722021661,0.9328808110781406,-0.3231407388759745,False
history_segment,4) $350 - $500,Womens E-Mail vs No E-Mail,2188,2124,20,24,0.009140767824497258,0.011299435028248588,-0.0021586672037513296,-0.19104204753199272,0.48071090141112816,0.9093784277879342,1.0102683615819208,-0.10088993379398659,False
history_segment,5) $500 - $750,Womens E-Mail vs No E-Mail,1662,1652,26,9,0.015643802647412757,0.005447941888619854,0.010195860758792903,1.8715068859473196,0.004093231025866357,1.8245066185318892,0.5388559322033899,1.2856506863284993,True
history_segment,"6) $750 - $1,000",Womens E-Mail vs No E-Mail,593,622,8,3,0.013490725126475547,0.00482315112540193,0.008667574001073618,1.79707700955593,0.11084535117419429,0.9977908937605398,0.3495337620578778,0.648257131702662,False
history_segment,"7) $1,000 +",Womens E-Mail vs No E-Mail,428,416,11,6,0.02570093457943925,0.014423076923076924,0.011277857656362328,0.7819314641744546,0.243624631779233,4.676588785046729,2.169807692307692,2.5067810927390366,False
zip_code,Rural,Mens E-Mail vs No E-Mail,3243,3139,44,26,0.013567684242984891,0.00828289264096846,0.00528479160201643,0.638036955335753,0.042715352064674965,1.5226364477335799,0.7671360305829882,0.7555004171505917,True
zip_code,Surburban,Mens E-Mail vs No E-Mail,9501,9625,118,48,0.012419745289969477,0.004987012987012987,0.00743273230295649,1.490417675332421,3.01094900190452e-08,1.4732901799810545,0.669442077922078,0.8038481020589765,True
zip_code,Urban,Mens E-Mail vs No E-Mail,8563,8542,105,48,0.012262057690061895,0.005619292905642706,0.006642764784419188,1.182135349760598,3.956111962968043e-06,1.328512203666939,0.5920053851557012,0.7365068185112378,True
