clean_feature,feature,importance
total events,num__total_events,0.10592925299238233
days since last session,num__days_since_last_session,0.0760472146102648
total page views,num__total_page_views,0.06393307330390292
page views per session,num__page_views_per_session,0.05868830811646686
item views per session,num__item_views_per_session,0.05389370009434703
distinct item categories interacted,num__distinct_item_categories_interacted,0.053434096867942774
events per session,num__events_per_session,0.05242431094891425
total item views,num__total_item_views,0.05122830924148294
pct sessions with product view,num__pct_sessions_with_product_view,0.04273278584679228
favorite view category (not set),cat__favorite_view_category_(not set),0.037832697796426826
user view to cart session rate missing flag,num__user_view_to_cart_session_rate_missing_flag,0.032574640893789926
observed lifespan days,num__observed_lifespan_days,0.03191255991332162
total sessions,num__total_sessions,0.03175455305786049
sessions with product view,num__sessions_with_product_view,0.031684721944303815
active days,num__active_days,0.024847664264058295
low intent sessions,num__low_intent_sessions,0.01668004706789508
add to carts per session,num__add_to_carts_per_session,0.008459168836683975
total item selects,num__total_item_selects,0.007789745104731101
total add to carts,num__total_add_to_carts,0.007784686550501193
favorite view category Home/Apparel/Hats/,cat__favorite_view_category_Home/Apparel/Hats/,0.0075013611969504046
first device category mobile,cat__first_device_category_mobile,0.007482894987256299
first country United States,cat__first_country_United States,0.00724117309196074
first device category desktop,cat__first_device_category_desktop,0.006933270938012154
sessions with add to cart,num__sessions_with_add_to_cart,0.006892154495472096
favorite cart category (not set),cat__favorite_cart_category_(not set),0.006498314448903752
pct sessions with add to cart,num__pct_sessions_with_add_to_cart,0.006203922146945394
first traffic source (data deleted),cat__first_traffic_source_(data deleted),0.005818912976554519
first traffic campaign (data deleted),cat__first_traffic_campaign_(data deleted),0.00574311538411929
first traffic medium (data deleted),cat__first_traffic_medium_(data deleted),0.005574892229569853
first traffic source <Other>,cat__first_traffic_source_<Other>,0.005244073862499746
first country Poland,cat__first_country_Poland,0.004993139487030882
cart abandoned sessions,num__cart_abandoned_sessions,0.004727923112145423
first traffic campaign <Other>,cat__first_traffic_campaign_<Other>,0.004699462091371253
first traffic source google,cat__first_traffic_source_google,0.004601857771810432
first traffic campaign (referral),cat__first_traffic_campaign_(referral),0.004542568942814842
first traffic medium organic,cat__first_traffic_medium_organic,0.0044450515780945265
first traffic medium referral,cat__first_traffic_medium_referral,0.004436940572263003
first traffic campaign (organic),cat__first_traffic_campaign_(organic),0.004349142405385987
favorite view category Home/Apparel/Men's / Unisex/,cat__favorite_view_category_Home/Apparel/Men's / Unisex/,0.004331006873064261
user cart abandonment rate missing flag,num__user_cart_abandonment_rate_missing_flag,0.004218146984166648
favorite view category Home/Sale/,cat__favorite_view_category_Home/Sale/,0.004052331352829777
first traffic source (direct),cat__first_traffic_source_(direct),0.003998807562572438
first traffic medium <Other>,cat__first_traffic_medium_<Other>,0.003980465604568269
first traffic medium (none),cat__first_traffic_medium_(none),0.003755029798813279
user cart to checkout session rate missing flag,num__user_cart_to_checkout_session_rate_missing_flag,0.0037026870722021814
first traffic campaign (direct),cat__first_traffic_campaign_(direct),0.0036324096193295083
first country Canada,cat__first_country_Canada,0.0035254446797178423
first traffic source shop.googlemerchandisestore.com,cat__first_traffic_source_shop.googlemerchandisestore.com,0.003468505227397269
user view to cart session rate,num__user_view_to_cart_session_rate,0.0034531962370032477
pct sessions with checkout,num__pct_sessions_with_checkout,0.003445767594030367
favorite cart category Home/Apparel/Hats/,cat__favorite_cart_category_Home/Apparel/Hats/,0.00315607741845948
first country India,cat__first_country_India,0.003069070249690455
favorite view category Home/Apparel/Women's/,cat__favorite_view_category_Home/Apparel/Women's/,0.002868727998567487
first country Brazil,cat__first_country_Brazil,0.0028280458418366823
checkouts per session,num__checkouts_per_session,0.0027655624715489193
sessions with checkout,num__sessions_with_checkout,0.002687340924573005
first country Saudi Arabia,cat__first_country_Saudi Arabia,0.002546734698125033
favorite view category Lifestyle/Bags/,cat__favorite_view_category_Lifestyle/Bags/,0.002502478219226928
total checkouts started,num__total_checkouts_started,0.002179809055059842
first country South Korea,cat__first_country_South Korea,0.0020126167615718595
